PROCNUM,ADJFACTOR,AGE2,RACE4,INCOME5,IRINSUR4,IRSEX,MALE,YOTMTHLP,WHITE,HISPB,NONE,SMHVST,YOUNG,VEREP,VESTR,adj_wt,p,r
17,1.0630,4,2,3,1,1,1,4,0,1,1,0,0,02,30057,2306.6709389,0.880797078,1
17,1.1332,5,4,2,1,2,0,3,0,1,0,5,0,02,30053,627.89473746,0.6224593312,1
17,1.0466,6,1,4,1,2,0,4,1,0,0,5,0,01,30024,1120.6867073,0.6224593312,1
17,1.0959,4,1,4,1,2,0,4,1,0,0,2,0,01,30004,1679.6819842,0.8021838886,0
17,1.0137,6,4,1,1,1,1,4,0,1,0,5,0,01,30034,426.01132002,0.6224593312,1
17,1.1494,5,1,4,1,2,0,3,1,0,0,4,0,02,30058,2118.148331,0.6899744811,1
17,1.1332,5,3,2,1,2,0,3,0,0,0,5,0,02,30021,407.10644616,0.6224593312,1
17,1.1160,1,2,3,1,1,1,4,0,1,1,0,1,02,30046,1283.2410126,0.880797078,1
17,1.1474,2,1,2,1,1,1,4,1,0,0,1,1,02,30041,910.71267259,0.8455347349,0
17,1.0288,3,4,1,1,2,0,4,0,1,0,5,0,01,30049,1037.8439955,0.6224593312,0
17,1.0411,4,3,1,1,2,0,2,0,0,0,5,0,02,30013,286.52518304,0.6224593312,1
17,1.1039,5,1,4,1,2,0,4,1,0,0,5,0,02,30056,2568.3910248,0.6224593312,1
17,1.0100,5,3,1,2,1,1,1,0,0,0,4,0,01,30004,284.72375011,0.6899744811,0
17,1.0617,4,1,4,1,2,0,1,1,0,1,0,0,02,30056,2575.8356525,0.880797078,1
17,1.0669,5,2,4,1,2,0,1,0,1,1,0,0,02,30038,2529.6256317,0.880797078,1
17,1.1332,5,3,2,1,2,0,3,0,0,0,2,0,01,30011,131.38030919,0.8021838886,1
17,1.0211,3,4,1,2,2,0,3,0,1,1,0,0,02,30003,3987.8930963,0.880797078,1
